
1,530,536154.015,3611306.039,535399.9705,3611204.004,0.472993,1.52,"LINESTRING(536154.015 3611306.0386, 535399.9705 3611204.0041)"
2,583,535661.0358,3583612.951,535956.9617,3583422.01,0.218918,0.7,"LINESTRING(535661.035799999 3583612.9514, 535956.961699999 3583422.0095)"
3,3029,588135.9774,3597494.984,587279.0258,3592751.961,2.995804,0.24,"LINESTRING(588135.977399999 3597494.9844, 587279.025799999 3592751.9608)"
4,3033,570578.9665,3593131.04,565279.0168,3600261.982,5.522647,0.57,"LINESTRING(570578.966499999 3593131.04039999, 565279.016799999 3600261.98229999)"
5,3225,534901.0422,3636321.011,547767.9535,3636793.024,8.003521,0.46,"LINESTRING(534901.0422 3636321.0109, 547767.953499999 3636793.0236)"
6,3536,547943.998,3600720.037,545344.0442,3595849.999,3.431616,0.58,"LINESTRING(547943.998 3600720.03709999, 545344.0442 3595849.9985)"
7,3537,547955.0124,3600674.971,545393.989,3595878.049,3.380126,0.62,"LINESTRING(547955.0124 3600674.9714, 545393.988999999 3595878.04939999)"
8,3539,546630.0191,3597185.946,545288.9667,3595751.975,1.220415,0.49,"LINESTRING(546630.0191 3597185.9463, 545288.966699999 3595751.97509999)"
9,3540,546630.0191,3597185.946,548373.9797,3595118.002,1.68152,0.42,"LINESTRING(546630.0191 3597185.9463, 548373.9797 3595118.0022)"
10,3572,542112.9967,3594567.053,547969.0125,3600673.043,5.258924,0.81,"LINESTRING(542112.9967 3594567.05349999, 547969.012499999 3600673.04309999)"
11,3585,552271.9577,3598514.05,552539.0191,3592647.039,3.650696,0.66,"LINESTRING(552271.9577 3598514.0495, 552539.0191 3592647.0389)"
12,3586,552271.9577,3598514.05,561925.0243,3589655.006,8.144164,0.67,"LINESTRING(552271.9577 3598514.0495, 561925.0243 3589655.0063)"
13,3639,534494.0057,3613336.027,536889.9939,3612863.054,1.518108,0.89,"LINESTRING(534494.005699999 3613336.02669999, 536889.9939 3612863.0543)"
14,3671,535473.0161,3611947.998,536825.985,3611811.011,0.845317,0.63,"LINESTRING(535473.0161 3611947.9978, 536825.984999999 3611811.01129999)"
