Id,nNodes,nCustomers,nVehicles,testType,customers,vehicles
82,51,12,9,Exact,53396214132740,52845351022596
82,51,12,9,0.10,53396214132740,52845351022596
82,51,12,9,0.40,53396214132740,52845351022596
82,51,12,9,0.80,53396214132740,52845351022596
83,51,12,9,Exact,184718122345490,8796261884946
83,51,12,9,0.10,184718122345490,8796261884946
83,51,12,9,0.40,184718122345490,8796261884946
83,51,12,9,0.80,184718122345490,8796261884946
84,51,12,9,Exact,13198476902962,8800430129698
84,51,12,9,0.10,13198476902962,8800430129698
84,51,12,9,0.40,13198476902962,8800430129698
84,51,12,9,0.80,13198476902962,8800430129698
85,51,12,9,Exact,1181012932438816,1163420742200064
85,51,12,9,0.10,1181012932438816,1163420742200064
85,51,12,9,0.40,1181012932438816,1163420742200064
85,51,12,9,0.80,1181012932438816,1163420742200064
86,51,12,9,Exact,7261929989,818430469
86,51,12,9,0.10,7261929989,818430469
86,51,12,9,0.40,7261929989,818430469
86,51,12,9,0.80,7261929989,818430469
87,51,12,9,Exact,282935278703936,282935270314048
87,51,12,9,0.10,282935278703936,282935270314048
87,51,12,9,0.40,282935278703936,282935270314048
87,51,12,9,0.80,282935278703936,282935270314048
88,51,12,9,Exact,17786245804,17249374760
88,51,12,9,0.10,17786245804,17249374760
88,51,12,9,0.40,17786245804,17249374760
88,51,12,9,0.80,17786245804,17249374760
89,51,12,9,Exact,140997567624,140930196608
89,51,12,9,0.10,140997567624,140930196608
89,51,12,9,0.40,140997567624,140930196608
89,51,12,9,0.80,140997567624,140930196608
90,51,12,9,Exact,219336970401,219051753633
90,51,12,9,0.10,219336970401,219051753633
90,51,12,9,0.40,219336970401,219051753633
90,51,12,9,0.80,219336970401,219051753633
91,51,12,9,Exact,18532631969,17450468769
91,51,12,9,0.10,18532631969,17450468769
91,51,12,9,0.40,18532631969,17450468769
91,51,12,9,0.80,18532631969,17450468769
92,51,12,9,Exact,655317529231880,650910892786176
92,51,12,9,0.10,655317529231880,650910892786176
92,51,12,9,0.40,655317529231880,650910892786176
92,51,12,9,0.80,655317529231880,650910892786176
93,51,12,9,Exact,1275446390434834,1134700295367698
93,51,12,9,0.10,1275446390434834,1134700295367698
93,51,12,9,0.40,1275446390434834,1134700295367698
93,51,12,9,0.80,1275446390434834,1134700295367698
94,51,12,9,Exact,75052557027088,4681665349392
94,51,12,9,0.10,75052557027088,4681665349392
94,51,12,9,0.40,75052557027088,4681665349392
94,51,12,9,0.80,75052557027088,4681665349392
95,51,12,9,Exact,35291881803400,38790235784
95,51,12,9,0.10,35291881803400,38790235784
95,51,12,9,0.40,35291881803400,38790235784
95,51,12,9,0.80,35291881803400,38790235784
96,51,12,9,Exact,274904527064,274903478408
96,51,12,9,0.10,274904527064,274903478408
96,51,12,9,0.40,274904527064,274903478408
96,51,12,9,0.80,274904527064,274903478408
97,51,12,9,Exact,106180458332728,35742994678296
97,51,12,9,0.10,106180458332728,35742994678296
97,51,12,9,0.40,106180458332728,35742994678296
97,51,12,9,0.80,106180458332728,35742994678296
98,51,12,9,Exact,169114493001,5905735753
98,51,12,9,0.10,169114493001,5905735753
98,51,12,9,0.40,169114493001,5905735753
98,51,12,9,0.80,169114493001,5905735753
99,51,12,9,Exact,290560516555520,290555145749248
99,51,12,9,0.10,290560516555520,290555145749248
99,51,12,9,0.40,290560516555520,290555145749248
99,51,12,9,0.80,290560516555520,290555145749248
100,51,12,9,Exact,88240698773512,87965283991560
100,51,12,9,0.10,88240698773512,87965283991560
100,51,12,9,0.40,88240698773512,87965283991560
100,51,12,9,0.80,88240698773512,87965283991560
101,51,15,9,Exact,246360139105451,211106240922795
101,51,15,9,0.10,246360139105451,211106240922795
101,51,15,9,0.40,246360139105451,211106240922795
101,51,15,9,0.80,246360139105451,211106240922795
102,51,15,9,Exact,1181022590890450,1181014000934978
102,51,15,9,0.10,1181022590890450,1181014000934978
102,51,15,9,0.40,1181022590890450,1181014000934978
102,51,15,9,0.80,1181022590890450,1181014000934978
103,51,15,9,Exact,1993511052688,1924716044672
103,51,15,9,0.10,1993511052688,1924716044672
103,51,15,9,0.40,1993511052688,1924716044672
103,51,15,9,0.80,1993511052688,1924716044672
104,51,15,9,Exact,33672728752448,33535154979136
104,51,15,9,0.10,33672728752448,33535154979136
104,51,15,9,0.40,33672728752448,33535154979136
104,51,15,9,0.80,33672728752448,33535154979136
105,51,15,9,Exact,12074553424,1336938496
105,51,15,9,0.10,12074553424,1336938496
105,51,15,9,0.40,12074553424,1336938496
105,51,15,9,0.80,12074553424,1336938496
