ID,TestID,customerQty,vehicleQty,fixCost,capacityRange,processTimeRange,dueDateRange,penaltyRange,edgeWeightRange,Cost,Time,Iterations,ChromosomeQty
0,0,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],61.00,0.32,999
1,0,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],61.00,0.26,999
2,0,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],61.00,0.12,999
3,0,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],61.00,0.10,999
4,0,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],61.00,0.12,999
5,0,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],61.00,0.10,999
6,0,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],61.00,0.10,999
7,0,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],61.00,0.12,999
8,0,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],61.00,0.12,999
9,0,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],61.00,0.11,999
10,1,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],116.00,0.10,999
11,1,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],116.00,0.10,999
12,1,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],116.00,0.13,999
13,1,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],116.00,0.15,999
14,1,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],116.00,0.11,999
15,1,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],116.00,0.14,999
16,1,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],116.00,0.10,999
17,1,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],116.00,0.11,999
18,1,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],116.00,0.10,999
19,1,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],116.00,0.10,999
20,2,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],93.00,0.10,999
21,2,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],93.00,0.10,999
22,2,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],93.00,0.10,999
23,2,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],93.00,0.10,999
24,2,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],93.00,0.12,999
25,2,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],93.00,0.11,999
26,2,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],93.00,0.10,999
27,2,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],93.00,0.10,999
28,2,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],93.00,0.10,999
29,2,4,3,1.0,[0.4   0.7],[1    100],[0.0   0.5],[1    5],[1    50],93.00,0.10,999
